,datetime,value
0,2011-05-31,498000000.0
1,2011-06-30,2172000000.0
2,2011-07-31,622000000.0
3,2011-08-31,5789183893.0
4,2011-09-30,6344659823.0
5,2011-10-31,13942945812.0
6,2011-11-30,39970950000.0
7,2011-12-31,10789000000.0
8,2012-01-31,95940483162.0
9,2012-02-29,35094160612.0
10,2012-03-31,122315488705.0
11,2012-04-30,115004202034.0
12,2012-05-31,20694488417.0
13,2012-06-30,31436290146.0
14,2012-07-31,1246168308882.0
15,2012-08-31,207012403170.0
16,2012-09-30,167668970115.0
17,2012-10-31,576714978046.0
18,2012-11-30,131943084435.0
19,2012-12-31,772819983614.0
20,2013-01-31,179613489758.0
21,2013-02-28,150672052641.0
22,2013-03-31,264244429960.0
23,2013-04-30,393078656855.0
24,2013-05-31,192273917591.0
25,2013-06-30,577176495477.0
26,2013-07-31,924734791459.0
27,2013-08-31,1292380855862.0
28,2013-09-30,1018074352013.0
29,2013-10-31,2454995016729.0
30,2013-11-30,5829600725792.0
31,2013-12-31,1142250574677.0
32,2014-01-31,293141382193.0
33,2014-02-28,351296867304.0
34,2014-03-31,248008241736.0
35,2014-04-30,145006089008.0
36,2014-05-31,124238141647.0
37,2014-06-30,281332061997.0
38,2014-07-31,51333619611.0
39,2014-08-31,48365382157.0
40,2014-09-30,68546334386.0
41,2014-10-31,63801574676.0
