,datetime,value
0,2011-05-08,298000000.0
1,2011-05-15,200000000.0
2,2011-05-22,0.0
3,2011-05-29,0.0
4,2011-06-05,0.0
5,2011-06-12,0.0
6,2011-06-19,2000000000.0
7,2011-06-26,172000000.0
8,2011-07-03,0.0
9,2011-07-10,226000000.0
10,2011-07-17,396000000.0
11,2011-07-24,0.0
12,2011-07-31,0.0
13,2011-08-07,0.0
14,2011-08-14,2600000000.0
15,2011-08-21,2489000000.0
16,2011-08-28,0.0
17,2011-09-04,1724183893.0
18,2011-09-11,635730479.0
19,2011-09-18,2091929344.0
20,2011-09-25,2498000000.0
21,2011-10-02,195000000.0
22,2011-10-09,0.0
23,2011-10-16,886000000.0
24,2011-10-23,12856945812.0
25,2011-10-30,0.0
26,2011-11-06,600000000.0
27,2011-11-13,4148000000.0
28,2011-11-20,74950000.0
29,2011-11-27,12144000000.0
30,2011-12-04,26814000000.0
31,2011-12-11,0.0
32,2011-12-18,6099000000.0
33,2011-12-25,800000000.0
34,2012-01-01,180000000.0
35,2012-01-08,3340000000.0
36,2012-01-15,55398980000.0
37,2012-01-22,37201503162.0
38,2012-01-29,0.0
39,2012-02-05,6160000000.0
40,2012-02-12,329106911.0
41,2012-02-19,606666605.0
42,2012-02-26,27798387096.0
43,2012-03-04,1991111119.0
44,2012-03-11,28242634200.0
45,2012-03-18,53738953807.0
46,2012-03-25,19293356813.0
47,2012-04-01,19829432766.0
48,2012-04-08,28330445952.0
49,2012-04-15,76479067233.0
50,2012-04-22,8212651375.0
51,2012-04-29,800690634.0
52,2012-05-06,1203869537.0
53,2012-05-13,4157243684.0
54,2012-05-20,4308892297.0
55,2012-05-27,8803919114.0
56,2012-06-03,7336007330.0
57,2012-06-10,2180604138.0
58,2012-06-17,8295456069.0
59,2012-06-24,5568836403.0
60,2012-07-01,11478385777.0
61,2012-07-08,11371788166.0
62,2012-07-15,4044049165.0
63,2012-07-22,16272844295.0
64,2012-07-29,1212148887130.0
65,2012-08-05,12380971096.0
66,2012-08-12,124526281866.0
67,2012-08-19,19884880810.0
68,2012-08-26,48469085956.0
69,2012-09-02,14781646049.0
70,2012-09-09,19615512600.0
71,2012-09-16,7854097060.0
72,2012-09-23,24434907964.0
73,2012-09-30,104463641064.0
74,2012-10-07,34644212093.0
75,2012-10-14,23012184700.0
76,2012-10-21,94740543951.0
77,2012-10-28,419979833973.0
78,2012-11-04,5266740164.0
79,2012-11-11,90647005942.0
80,2012-11-18,35228655071.0
81,2012-11-25,1328758801.0
82,2012-12-02,95592033854.0
83,2012-12-09,3626593197.0
84,2012-12-16,2073300000.0
85,2012-12-23,602434732599.0
86,2012-12-30,72154951750.0
87,2013-01-06,30174076093.0
88,2013-01-13,16471161914.0
89,2013-01-20,50523321312.0
90,2013-01-27,79351089997.0
91,2013-02-03,16747399120.0
92,2013-02-10,27641437060.0
93,2013-02-17,31847940405.0
94,2013-02-24,61006500328.0
95,2013-03-03,153863186123.0
96,2013-03-10,38469409243.0
97,2013-03-17,8982483137.0
98,2013-03-24,26506617145.0
99,2013-03-31,53693850482.0
